ID,Area,Priority,Role,Preconditions,Steps,Expected,Status,Evidence
IN-01,Install / Preflight,P0,Admin,App root contains current v21/v22/v23 source and clean pack,Run node .\Service_Manager_v23_Clean_Upgrade\apply-v23-clean.mjs,Upgrade completes; version becomes 23.0.1; no patch error.,NOT RUN,
IN-02,Install / Preflight,P0,Admin,v23.0.1 installed,Run .\V23.ps1 preflight against configured DB,Preflight identifies a non-empty application DB and performs no writes.,NOT RUN,
IN-03,Install / Preflight,P0,Admin,Configured Mongo DB is empty,Run .\V23.ps1 preflight,Preflight BLOCKS. It must not silently provision an empty database; candidate databases may be listed.,NOT RUN,
IN-04,Install / Preflight,P0,Admin,v23.0.1 installed,Run .\V23.ps1 verify,Normal Incident guard and all automated v23 tests pass.,NOT RUN,
IN-05,Install / Preflight,P0,Admin,Valid non-empty DB selected,Run .\V23.ps1 dry-run,"Output explicitly says DRY RUN / no writes; shows Would create/Would update, not Created/Updated.",NOT RUN,
IN-06,Install / Preflight,P0,Admin,Dry-run contains ambiguous rows,Try apply-db without -ApproveBindings,Command refuses to run.,NOT RUN,
NI-01,Normal Incident Regression,P0,Client,A normal/non-SaaS Incident request type exists,Open normal Incident create page,Creation form is unchanged from the pre-v23 baseline.,NOT RUN,
NI-02,Normal Incident Regression,P0,Client,Normal Application Incident exists with same display name as SaaS subtype but no v23 binding,Open its create page,v23 configurable SaaS form does not activate merely from the name Application Incident.,NOT RUN,
NI-03,Normal Incident Regression,P0,Client,Normal Incident create page,Inspect Priority/Severity and legacy fields,Existing normal Incident field behavior remains exactly as baseline; v23 client-priority rules do not override it.,NOT RUN,
NI-04,Normal Incident Regression,P0,Support,Existing normal Incident,Open request detail,Existing normal Incident actions/tasks/controls remain unchanged; no SaaS-only controls appear.,NOT RUN,
NI-05,Normal Incident Regression,P0,Support,Existing normal Incident,Move through its normal workflow statuses,Its original workflow works as before v23.,NOT RUN,
NI-06,Normal Incident Regression,P0,Support,Existing normal Incident with support routing,Move L1/L2/L3 according to normal process,v23 status-preservation logic does not alter normal Incident routing behavior.,NOT RUN,
